Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,1,1,1,0,1
0.000085333,0,0,0,0,0,0,0,1
8.701275750,0,0,0,0,1,0,0,1
8.701276667,0,1,0,0,1,0,0,1
8.701277292,0,1,0,0,1,1,0,1
8.701279292,0,1,0,1,1,1,0,1
8.701279333,1,1,0,1,1,1,0,1
9.315243583,1,1,0,1,1,0,0,1
9.335274083,1,0,0,1,1,0,0,1
9.628736792,0,0,0,1,1,0,0,1
9.645818458,0,0,0,1,1,1,0,1
9.645856917,0,0,0,0,1,1,0,1
9.645941625,0,0,0,0,1,0,0,1
9.645975708,0,0,0,0,1,1,0,1
9.645977208,0,1,0,0,1,1,0,1
9.645978625,1,1,0,0,1,1,0,1
9.646032375,1,0,0,0,1,1,0,1
9.646090792,1,1,0,0,1,1,0,1
9.646145958,1,0,0,0,1,1,0,1
9.646204333,1,1,0,0,1,1,0,1
9.646259500,1,0,0,0,1,1,0,1
9.646317417,1,0,0,0,1,0,0,1
9.646317917,1,1,0,0,1,0,0,1
9.646373042,1,0,0,0,1,0,0,1
9.646431458,1,1,0,0,1,0,0,1
9.646486625,1,0,0,0,1,0,0,1
9.646545000,1,1,0,0,1,0,0,1
9.646600167,1,0,0,0,1,0,0,1
9.646657042,1,0,0,0,1,1,0,1
9.646658542,1,1,0,0,1,1,0,1
9.646713708,1,0,0,0,1,1,0,1
9.646771625,1,0,0,0,1,0,0,1
9.646772125,1,1,0,0,1,0,0,1
9.646775958,0,1,0,0,1,0,0,1
9.646827250,0,0,0,0,1,0,0,1
9.646838417,0,0,0,0,1,1,0,1
9.646869500,0,0,0,1,1,1,0,1
9.646953208,0,0,0,0,1,1,0,1
9.647036625,0,0,0,0,1,0,0,1
9.647112750,0,1,0,0,1,0,0,1
9.647167917,0,0,0,0,1,0,0,1
9.647226333,0,1,0,0,1,0,0,1
9.647281500,0,0,0,0,1,0,0,1
9.647339875,0,1,0,0,1,0,0,1
9.647395042,0,0,0,0,1,0,0,1
9.647453417,0,1,0,0,1,0,0,1
9.647454833,1,1,0,0,1,0,0,1
9.647508583,1,0,0,0,1,0,0,1
9.647566958,1,1,0,0,1,0,0,1
9.647622125,1,0,0,0,1,0,0,1
9.647680542,1,1,0,0,1,0,0,1
9.647735708,1,0,0,0,1,0,0,1
9.647794083,1,1,0,0,1,0,0,1
9.647797958,0,1,0,0,1,0,0,1
9.647849250,0,0,0,0,1,0,0,1
9.647906125,0,0,0,0,1,1,0,1
9.647907625,0,1,0,0,1,1,0,1
9.647909042,1,1,0,0,1,1,0,1
9.647962792,1,0,0,0,1,1,0,1
9.648001875,1,0,0,1,1,1,0,1
9.648092292,1,0,0,0,1,1,0,1
9.648248292,1,1,0,0,1,1,0,1
9.648252167,0,1,0,0,1,1,0,1
9.648303458,0,0,0,0,1,1,0,1
9.648361833,0,1,0,0,1,1,0,1
9.648417000,0,0,0,0,1,1,0,1
9.648475375,0,1,0,0,1,1,0,1
9.648530583,0,0,0,0,1,1,0,1
9.648588500,0,0,0,0,1,0,0,1
9.648588958,0,1,0,0,1,0,0,1
9.648590375,1,1,0,0,1,0,0,1
9.648644125,1,0,0,0,1,0,0,1
9.648702500,1,1,0,0,1,0,0,1
9.648757667,1,0,0,0,1,0,0,1
9.648816083,1,1,0,0,1,0,0,1
9.648871250,1,0,0,0,1,0,0,1
9.648929625,1,1,0,0,1,0,0,1
9.648933458,0,1,0,0,1,0,0,1
9.648984792,0,0,0,0,1,0,0,1
9.649043167,0,1,0,0,1,0,0,1
9.649044583,1,1,0,0,1,0,0,1
9.649098333,1,0,0,0,1,0,0,1
9.649109500,1,0,0,0,1,1,0,1
9.649122917,1,0,0,1,1,1,0,1
9.649210417,1,0,0,0,1,1,0,1
9.649300792,1,0,0,0,1,0,0,1
9.649382333,1,0,0,0,1,1,0,1
9.649383833,1,1,0,0,1,1,0,1
9.649387667,0,1,0,0,1,1,0,1
9.649439000,0,0,0,0,1,1,0,1
9.649497375,0,1,0,0,1,1,0,1
9.649552542,0,0,0,0,1,1,0,1
9.649610917,0,1,0,0,1,1,0,1
9.649666125,0,0,0,0,1,1,0,1
9.649724042,0,0,0,0,1,0,0,1
9.649724500,0,1,0,0,1,0,0,1
9.649725917,1,1,0,0,1,0,0,1
9.649779667,1,0,0,0,1,0,0,1
9.649838042,1,1,0,0,1,0,0,1
9.649893208,1,0,0,0,1,0,0,1
9.649951583,1,1,0,0,1,0,0,1
9.650006750,1,0,0,0,1,0,0,1
9.650065167,1,1,0,0,1,0,0,1
9.650120333,1,0,0,0,1,0,0,1
